Epoch 162: Loss = 21.8162, NME = 0.0027, Pixel Error = 38.3576, Val Loss = 55.6808, Val NME = 0.0038, Val Pixel Error = 57.0673
Epoch 163: Loss = 18.9055, NME = 0.0026, Pixel Error = 36.5022, Val Loss = 73.9134, Val NME = 0.0048, Val Pixel Error = 70.8917
Epoch 164: Loss = 18.4291, NME = 0.0025, Pixel Error = 34.6769, Val Loss = 61.3952, Val NME = 0.0042, Val Pixel Error = 62.1757
Epoch 165: Loss = 18.5387, NME = 0.0026, Pixel Error = 35.8594, Val Loss = 58.8407, Val NME = 0.0040, Val Pixel Error = 60.0158
Epoch 166: Loss = 20.3199, NME = 0.0027, Pixel Error = 37.5117, Val Loss = 53.9144, Val NME = 0.0039, Val Pixel Error = 56.4601
Epoch 167: Loss = 24.5660, NME = 0.0030, Pixel Error = 41.4766, Val Loss = 109.6615, Val NME = 0.0063, Val Pixel Error = 89.5601
Epoch 168: Loss = 25.8496, NME = 0.0031, Pixel Error = 43.3334, Val Loss = 87.0057, Val NME = 0.0053, Val Pixel Error = 78.7527
Epoch 169: Loss = 24.0802, NME = 0.0030, Pixel Error = 43.1160, Val Loss = 75.9714, Val NME = 0.0048, Val Pixel Error = 71.4556
Epoch 170: Loss = 21.0419, NME = 0.0027, Pixel Error = 37.8333, Val Loss = 66.0234, Val NME = 0.0044, Val Pixel Error = 65.0508
Epoch 171: Loss = 22.5739, NME = 0.0029, Pixel Error = 40.1217, Val Loss = 68.5846, Val NME = 0.0046, Val Pixel Error = 67.1488
Epoch 172: Loss = 22.1380, NME = 0.0028, Pixel Error = 41.2339, Val Loss = 55.6827, Val NME = 0.0041, Val Pixel Error = 58.6546
Epoch 173: Loss = 17.1503, NME = 0.0025, Pixel Error = 34.2144, Val Loss = 57.1799, Val NME = 0.0040, Val Pixel Error = 60.5007
Epoch 174: Loss = 24.0567, NME = 0.0029, Pixel Error = 40.3551, Val Loss = 56.1881, Val NME = 0.0040, Val Pixel Error = 60.2276
Epoch 175: Loss = 16.9779, NME = 0.0024, Pixel Error = 34.7698, Val Loss = 63.7824, Val NME = 0.0043, Val Pixel Error = 64.4849
Epoch 176: Loss = 26.5690, NME = 0.0030, Pixel Error = 41.9435, Val Loss = 60.1719, Val NME = 0.0041, Val Pixel Error = 62.4366
Epoch 177: Loss = 19.4046, NME = 0.0026, Pixel Error = 35.8088, Val Loss = 73.5291, Val NME = 0.0048, Val Pixel Error = 73.9891
Epoch 178: Loss = 29.2919, NME = 0.0032, Pixel Error = 46.0692, Val Loss = 54.4199, Val NME = 0.0039, Val Pixel Error = 58.8876
Epoch 179: Loss = 18.6968, NME = 0.0026, Pixel Error = 36.2085, Val Loss = 78.0333, Val NME = 0.0050, Val Pixel Error = 73.0373
Epoch 180: Loss = 18.3415, NME = 0.0026, Pixel Error = 35.8345, Val Loss = 72.7699, Val NME = 0.0048, Val Pixel Error = 70.3771
Epoch 181: Loss = 26.0662, NME = 0.0029, Pixel Error = 40.7243, Val Loss = 78.8479, Val NME = 0.0051, Val Pixel Error = 77.3285
